#,Grade,Word,Translation/Notes
1,Serf,Many a true word is spoken in jest,Beaucoup de mots vrais sont dits en plaisantant
2,Serf,Kennel,Niche
3,Serf,Navel,Nombril
4,Serf,Convalescence home,Centre de convalescence
5,Serf,Crest,Crête (sommet)/Cimier
6,Serf,Undue,Excessif
7,Serf,No/Not enough room to swing a cat,Pas beaucoup de place
8,Serf,Snorkel,Tuba
9,Serf,To swath,Envelopper
10,Serf,To mend,Racommoder
11,Serf,Peg/Pin (UK/US),Pince à linge
12,Serf,Pliers,Pince
13,Serf,To scuttle,Décamper
14,Serf,To rope (somebody) in,Embaucher (quelqu'un)
15,Serf,Dais,Estrade
16,Serf,Marchioness,Marquise
17,Serf,Frass,Excréments d'insecte
18,Serf,Landfill,Décharge
19,Serf,Particleboard,Panneau de particules/Aggloméré
20,Serf,To throw a Hail Mary/A Hail Mary pass (US),"Faire quelque chose avec peu de chances que ça réussisse, puis ça réussit"
21,Serf,Give someone/something a wide Berth,Éviter grandement quelqu'un/quelque chose
22,Serf,Rumpled up,Déchiré/froissé
23,Serf,Bedspread,Couvre-lit
24,Serf,To scrimp,Pour faire des économies/Pour léser
25,Serf,Pipes,Tuyaux de cannalisation
26,Serf,To be copped up,Se faire coffrer
27,Serf,Chyron,"(Avec un K en phonétique) Le bandeau de texte dans le JT, etc."
28,Serf,Apparatus,Équipement
29,Serf,Vestigial,Rudimentaire
30,Serf,To gulp down,Engloutir
31,Serf,To get/have my ducks in a row,Pour que tout soit en ordre pour la prochaine étape/Pour avoir une idée de ce qui m'attend
32,Serf,To comp,Donner quelque chose gratuitement
33,Serf,Boot of the car,Coffre de la voiture
34,Serf,Crumpled up,Froissé
35,Serf,Wedged,Coincé
36,Serf,To huff,Souffler
37,Serf,Bangs (US)/Fringe (UK),Franges (coiffure)
38,Serf,Haunches,Les hanches (animal/humain) ou les côtés d'une arche (architecture)
39,Serf,To pounce,Bondir
40,Serf,Lede,(Journalisme) introduction courte d'une histoire plus longue et intéressante (premier paragraphe d'un article en gras...)
41,Serf,Falloff,Diminution
42,Serf,Upheaval,Révolte/Agitation
43,Serf,To fare,S'en sortir/S'en tirer
44,Serf,Rejoinder,Réplique/Répartie
45,Serf,Contentious,Querelleur/Chicanier/Chicaneur
46,Serf,Spacefaring,Qui a des moyens de transport permettant d'aller dans l'espace (spacefaring nation)
47,Serf,To usher,Conduire/Mener
48,Serf,Usher,Placeur/Huissier
49,Serf,Splotchy,Marbré/Taché
50,Serf,Decked out,Être habillé avec ... (vêtements peu ordinaires)/Quelque chose qui est décoré avec ...
51,Serf,Regalia,Habits/Tenue (formel)
52,Serf,Innocuous,Inoffensif
53,Serf,To saunter,Flâner/Marcher d'un pas nonchalant
54,Serf,Flailing,Qui se débat
55,Serf,To shed,"Perdre ses feuilles, sa peau, ses poils/enlever quelque chose (to shed something)"
56,Serf,Lingering,Persistant/Durable
57,Serf,Trope,Figure de style/cliché
58,Serf,Standoff,Impasse/Match nul
59,Serf,Undertaking,Projet/Engagement
60,Serf,Overwrought,Agité/Tendu/Excité/À cran/À bout de nerfs
61,Serf,Plough/Plow (UK/US),Charrue/Chasse-neige
62,Serf,To plough/To plow (UK/US),Labourer (UK/US)/Déneigner (US)
63,Serf,Hayward,Garde-champêtre
64,Serf,To heed something,Tenir compte de
65,Serf,To portend (something),(Quelque chose qui fait) présager
66,Serf,Hoard,Réserve/provisions
67,Serf,Loathsome,Répugnant
68,Serf,Screech,Cri strident
69,Serf,Lest,... de peur que ...
70,Serf,Eleventy-first,111ème
